zip,state_id,state_name
3249,NH,New Hampshire
3251,NH,New Hampshire
3253,NH,New Hampshire
3254,NH,New Hampshire
3255,NH,New Hampshire
3256,NH,New Hampshire
3257,NH,New Hampshire
3258,NH,New Hampshire
3259,NH,New Hampshire
3260,NH,New Hampshire
3261,NH,New Hampshire
3262,NH,New Hampshire
3263,NH,New Hampshire
3264,NH,New Hampshire
3266,NH,New Hampshire
3268,NH,New Hampshire
3269,NH,New Hampshire
3273,NH,New Hampshire
3275,NH,New Hampshire
3276,NH,New Hampshire
3278,NH,New Hampshire
3279,NH,New Hampshire
3280,NH,New Hampshire
3281,NH,New Hampshire
3282,NH,New Hampshire
3284,NH,New Hampshire
3285,NH,New Hampshire
3287,NH,New Hampshire
3290,NH,New Hampshire
3291,NH,New Hampshire
3293,NH,New Hampshire
3301,NH,New Hampshire
3303,NH,New Hampshire
3304,NH,New Hampshire
3307,NH,New Hampshire
3431,NH,New Hampshire
3440,NH,New Hampshire
3441,NH,New Hampshire
3442,NH,New Hampshire
3443,NH,New Hampshire
3444,NH,New Hampshire
3445,NH,New Hampshire
3446,NH,New Hampshire
3447,NH,New Hampshire
3448,NH,New Hampshire
3449,NH,New Hampshire
3450,NH,New Hampshire
3451,NH,New Hampshire
3452,NH,New Hampshire
3455,NH,New Hampshire
3456,NH,New Hampshire
3457,NH,New Hampshire
3458,NH,New Hampshire
3461,NH,New Hampshire
3462,NH,New Hampshire
3464,NH,New Hampshire
3465,NH,New Hampshire
3466,NH,New Hampshire
3467,NH,New Hampshire
3470,NH,New Hampshire
3561,NH,New Hampshire
3570,NH,New Hampshire
3574,NH,New Hampshire
3575,NH,New Hampshire
3576,NH,New Hampshire
3579,NH,New Hampshire
3580,NH,New Hampshire
3581,NH,New Hampshire
3582,NH,New Hampshire
3583,NH,New Hampshire
3584,NH,New Hampshire
3585,NH,New Hampshire
3586,NH,New Hampshire
3588,NH,New Hampshire
3590,NH,New Hampshire
3592,NH,New Hampshire
3593,NH,New Hampshire
3595,NH,New Hampshire
3597,NH,New Hampshire
3598,NH,New Hampshire
3601,NH,New Hampshire
3602,NH,New Hampshire
3603,NH,New Hampshire
3604,NH,New Hampshire
3605,NH,New Hampshire
3607,NH,New Hampshire
3608,NH,New Hampshire
3609,NH,New Hampshire
3740,NH,New Hampshire
3741,NH,New Hampshire
3743,NH,New Hampshire
3745,NH,New Hampshire
3746,NH,New Hampshire
3748,NH,New Hampshire
3750,NH,New Hampshire
3751,NH,New Hampshire
3752,NH,New Hampshire
3753,NH,New Hampshire
3754,NH,New Hampshire
3755,NH,New Hampshire
3765,NH,New Hampshire
3766,NH,New Hampshire
3768,NH,New Hampshire
3770,NH,New Hampshire
3771,NH,New Hampshire
3773,NH,New Hampshire
3774,NH,New Hampshire
3777,NH,New Hampshire
3779,NH,New Hampshire
3780,NH,New Hampshire
3781,NH,New Hampshire
3782,NH,New Hampshire
3784,NH,New Hampshire
3785,NH,New Hampshire
3801,NH,New Hampshire
3809,NH,New Hampshire
3810,NH,New Hampshire
3811,NH,New Hampshire
3812,NH,New Hampshire
3813,NH,New Hampshire
3814,NH,New Hampshire
3816,NH,New Hampshire
3817,NH,New Hampshire
3818,NH,New Hampshire
3819,NH,New Hampshire
3820,NH,New Hampshire
3823,NH,New Hampshire
3824,NH,New Hampshire
3825,NH,New Hampshire
3826,NH,New Hampshire
3827,NH,New Hampshire
3830,NH,New Hampshire
3832,NH,New Hampshire
3833,NH,New Hampshire
3835,NH,New Hampshire
3836,NH,New Hampshire
3837,NH,New Hampshire
3838,NH,New Hampshire
3839,NH,New Hampshire
3840,NH,New Hampshire
3841,NH,New Hampshire
3842,NH,New Hampshire
3844,NH,New Hampshire
3845,NH,New Hampshire
3846,NH,New Hampshire
3847,NH,New Hampshire
3848,NH,New Hampshire
3849,NH,New Hampshire
3850,NH,New Hampshire
3851,NH,New Hampshire
3852,NH,New Hampshire
3853,NH,New Hampshire
3854,NH,New Hampshire
3855,NH,New Hampshire
3856,NH,New Hampshire
3857,NH,New Hampshire
3858,NH,New Hampshire
3860,NH,New Hampshire
3861,NH,New Hampshire
3862,NH,New Hampshire
3864,NH,New Hampshire
3865,NH,New Hampshire
3867,NH,New Hampshire
3868,NH,New Hampshire
3869,NH,New Hampshire
3870,NH,New Hampshire
3871,NH,New Hampshire
3872,NH,New Hampshire
3873,NH,New Hampshire
3874,NH,New Hampshire
3875,NH,New Hampshire
3878,NH,New Hampshire
3882,NH,New Hampshire
3883,NH,New Hampshire
3884,NH,New Hampshire
3885,NH,New Hampshire
3886,NH,New Hampshire
3887,NH,New Hampshire
3890,NH,New Hampshire
3894,NH,New Hampshire
3901,ME,Maine
3902,ME,Maine
3903,ME,Maine
3904,ME,Maine
3905,ME,Maine
3906,ME,Maine
3907,ME,Maine
3908,ME,Maine
3909,ME,Maine
3910,ME,Maine
3911,ME,Maine
4001,ME,Maine
4002,ME,Maine
4003,ME,Maine
4005,ME,Maine
4006,ME,Maine
